MONTH,CITY,STORE,STATUS,ZONE_MAPPING,ORDER_COUNT,CART_SALES,DISCOUNT,NET_REVENUE,IDEAL_FOOD_COST,GROSS_MARGIN,KITCHEN_EBITDA,VARIANCE,REVENUE_COHORT,CM_COHORT,EBITDA_CATEGORY,EBITDA_COHORT,VARIANCE_CATEGORY,REVENUE_BUCKET,GM_PERCENT
Oct-2023,Ahmedabad,Ramos-Martin,Inactive,West,14270,6554333.68,1163493.98,5434068.17,1763679.62,3614747.39,2374914.55,2.966462,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,Var 2%-3%,Above 45L,66.52009648969862
Nov-2023,Ahmedabad,Ramos-Martin,Inactive,West,8528,2637625.82,636015.27,2146679.55,638415.3,1414249.0,151761.82,1.176985,INR 20 to 30 lacs,More than 30%,EBITDA +ve,More than 20%,Var <2%,15L-25L,65.88076920935872
Dec-2023,Ahmedabad,Ramos-Martin,Inactive,West,10798,4364193.67,1283840.18,3188606.71,1085080.58,2036999.44,736811.76,2.337683,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,0% to 10%,Var 2%-3%,25L-35L,63.88368416875093
Jan-2024,Ahmedabad,Ramos-Martin,Inactive,West,7804,3479969.32,854797.46,2734306.33,1180892.5,1451140.55,229924.26,2.616241,INR 20 to 30 lacs,0% to 10%,EBITDA +ve,More than 20%,Var 2%-3%,25L-35L,53.0716157907589
Feb-2024,Ahmedabad,Ramos-Martin,Inactive,West,10060,4771378.71,1290900.38,3602124.88,1114846.94,2394567.16,1114151.65,1.9944970000000002,INR 20 to 30 lacs,More than 30%,EBITDA -ve,0% to 10%,Var <2%,35L-45L,66.47651704956992
Mar-2024,Ahmedabad,Ramos-Martin,Inactive,West,14280,4706936.27,1410485.57,3340397.87,1428327.36,1817292.19,476456.13,1.440482,INR 30 to 40 lacs,More than 30%,EBITDA -ve,0% to 10%,Var <2%,25L-35L,54.40346511776455
Oct-2023,Pune,Burke-Johnson,Inactive,North,8369,3367841.36,619596.48,2837141.55,1006918.91,1687753.28,284603.87,2.559751,INR 30 to 40 lacs,0% to 10%,EBITDA +ve,10% to 20%,Var 2%-3%,25L-35L,59.487806662307705
Nov-2023,Pune,Burke-Johnson,Inactive,North,10991,5167810.92,1500449.35,3770663.65,1300145.07,2371957.2,1050903.83,1.973484,INR 20 to 30 lacs,0% to 10%,EBITDA -ve,0% to 10%,Var <2%,35L-45L,62.905563056519256
Dec-2023,Pune,Burke-Johnson,Inactive,North,12895,5496206.52,1479698.04,4080783.22,1218795.04,2794277.11,1214628.03,2.8723099999999997,INR 30 to 40 lacs,10% to 20%,EBITDA -ve,0% to 10%,Var 2%-3%,35L-45L,68.47403940266152
Jan-2024,Pune,Burke-Johnson,Inactive,North,7569,3678559.48,590638.41,3142931.96,1442605.0,1579435.86,347215.03,2.344052,More than 40 lacs,10% to 20%,EBITDA +ve,10% to 20%,Var 2%-3%,25L-35L,50.25358105429684
